PAYS,Site,Pont,"ACCESSOIRES :
Pince ou 
Elingue",EGT,EGT €,COMMENTAIRES,Ligne de Presse ou utilisation,MES,Observations,Age,PRIX NEUF,"Travaux 
RG ou Installation Nouveau Pont",Pont à évaluer en interne par Référent Levage (MES>2008),Année Evaluation Interne,Evaluation Spéciale O/N,EVS Année,E/S Montant,2024 EGT,2025 OPEX DF (EVS et travaux préconisés) (EVS et travaux préconisés),2025 RGE/RGM CAPEX IV,2025 ACHAT NEUF CAPEX IV,2026 OPEX DF (EVS et travaux préconisés),2026 RGE/RGM CAPEX IV,2026 ACHAT NEUF CAPEX IV,2027 OPEX DF (EVS et travaux préconisés),2027 RGE/RGM CAPEX IV,2027 ACHAT NEUF CAPEX IV,2028 OPEX DF (EVS et travaux préconisés),2028 RGE/RGM CAPEX IV,2028 ACHAT NEUF CAPEX IV,2029 OPEX DF (EVS et travaux préconisés),2029 RGE/RGM CAPEX IV,2029 ACHAT NEUF CAPEX IV,2030 OPEX DF (EVS et travaux préconisés),2030 RGE/RGM CAPEX IV,2030 ACHAT NEUF CAPEX IV,2031 OPEX DF (EVS et travaux préconisés),2031 RGE/RGM CAPEX IV,2031 ACHAT NEUF CAPEX IV,2032 OPEX DF (EVS et travaux préconisés),2032 RGE/RGM CAPEX IV,2032 ACHAT NEUF CAPEX IV,2033 OPEX DF (EVS et travaux préconisés),2033 RGE/RGM CAPEX IV,2033 ACHAT NEUF CAPEX IV,2034 OPEX DF (EVS et travaux préconisés),2034 RGE/RGM CAPEX IV,2034 ACHAT NEUF CAPEX IV,2035 OPEX DF (EVS et travaux préconisés),2035 RGE/RGM CAPEX IV,2035 ACHAT NEUF CAPEX IV,2036 OPEX DF (EVS et travaux préconisés),2036 RGE/RGM CAPEX IV,2036 ACHAT NEUF CAPEX IV,2037 OPEX DF (EVS et travaux préconisés),2037 RGE/RGM CAPEX IV,2037 ACHAT NEUF CAPEX IV,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,"USAGE :
Manutention et/ou
Manipulation","TYPE :
Automate ou
Electromécanique","ROADMAP 
Capex
Obsolescence","ROADMAP
SECURISATION",Unnamed: 66,Unnamed: 67,Unnamed: 68
1-FRANCE,Chassis,Pont E4 20T 48444 SEVAL/OMIS,,,,,,2012.0,HORS SCOPE DEPT EMB,14.0,,,Evaluation interne,2032,N,2051,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E4 20T 48444 SEVAL/OMIS,,,,,,,
1-FRANCE,Chassis,Pont E0 46833 25 T KONECRANES,,,,,,2010.0,HORS SCOPE DEPT EMB,16.0,,RGE,Evaluation interne,2030,N,2049,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,Pont E0 46833 25 T KONECRANES,,,2035,,,,
1-FRANCE,Chassis,SP HH3 44839 25T ADC,,,,,,2008.0,HORS SCOPE DEPT EMB,18.0,,RGE, , ,N,2047,25000,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,SP HH3 44839 25T ADC,Manipulation ,,2033,,,,
1-FRANCE,Chassis,Pont E2 1470200822 4T SEVAL,,,,,,2003.0,HORS SCOPE DEPT EMB,23.0,,, , ,N,2042,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E2 1470200822 4T SEVAL,,,,,,,
1-FRANCE,Chassis,Pont E2' 1470200821 8/8 T DEMAG,,,,,,2003.0,HORS SCOPE DEPT EMB,23.0,,, , ,N,2042,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E2' 1470200821 8/8 T DEMAG,,,,,,,
1-FRANCE,Chassis,Pont E2 1470200820 14/14 T SEVAL,,,,,,2003.0,HORS SCOPE DEPT EMB,23.0,,RGE, , ,N,2042,40000,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E2 1470200820 14/14 T SEVAL,,,2029,,,,
1-FRANCE,Chassis,Pont (SP ?) E4 1470200756 8T,,,,,,2003.0,HORS SCOPE DEPT EMB,23.0,,RGE, , ,N,2042,40000,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont (SP ?) E4 1470200756 8T,,,2028,,,,
1-FRANCE,Chassis,Pont E5 25 T 1470200554 SEVAL,,,,,,2003.0,HORS SCOPE DEPT EMB,23.0,,RGE, , ,N,2042,40000,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E5 25 T 1470200554 SEVAL,,,2028,,,,
1-FRANCE,Chassis,Pont E6 1470000240 50T SAMETO,,,,,,2001.0,HORS SCOPE DEPT EMB,25.0,,RGE 25 ans, , ,N,2040,40000,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E6 1470000240 50T SAMETO,,,2027,2025.0,,,
1-FRANCE,Chassis,Pont E6 1470001297 50/50T SAMETO,,,,,,2001.0,HORS SCOPE DEPT EMB,25.0,,RGE 25 ans, , ,N,2040,40000,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E6 1470001297 50/50T SAMETO,,,2027,,,,
1-FRANCE,Chassis,Pont E0 1470000704 25 T SEVAL,,,,,,2000.0,HORS SCOPE DEPT EMB,26.0,,RGE, , ,N,2039,40000,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E0 1470000704 25 T SEVAL,,,2026,,,,
1-FRANCE,Chassis,Pont E2 1479900509 16T SAMETO,,,,,,1999.0,HORS SCOPE DEPT EMB,27.0,,RGE, , ,N,2038,40000,,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E2 1479900509 16T SAMETO,,,2026,,,,
1-FRANCE,Chassis,Pont E1 759847 20T SAMETO,,,,,,1994.0,HORS SCOPE DEPT EMB,32.0,,RGE, , ,N,2033,40000,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E1 759847 20T SAMETO,,,2026,,,,
1-FRANCE,Chassis,Pont E1 759848 20/20 T SAMETO (RGE 2019),,,,,,1994.0,HORS SCOPE DEPT EMB,32.0,,, , ,N,2033,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont E1 759848 20/20 T SAMETO (RGE 2019),,,,,,,
1-FRANCE,LHA,Pont J12 63T,Pince,,,,L08,2006.0,,20.0,950000.0,RGE, , ,NC,2045,40000,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont J12,,,2028,,,,
1-FRANCE,LHA,Pont J11 63T,Pince,,,,L11,2006.0,,20.0,,RGE, , ,,2045,40000,,,,,,,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,Pont J11,,,2029,,,,
1-FRANCE,LHA,Pince outils J11,PINCE,,,,L11,1999.0,,27.0,,RG, , ,NC,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-FRANCE,LHA,Pince à outil J12,PINCE,,,,STOCKAGE,1999.0,,27.0,220000.0,RGM, , ,NC,,,,,,,,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-FRANCE,LHA,Pont J3 63/63T CAILLARD ,Elingue,,,,MAP/MAINTENANCE,1970.0,RGE 1998,56.0,1170000.0,2026 prov pour travaux / Installation nouveaux ponts 2027, , ,N,2026,40000,,,,,69000,,,,170000,,,,1170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont J3 63/63T CAILLARD,,,2026,,,,
1-FRANCE,LHA,Semi-portique N°1 J3 CHSL HUGO 10T,Elingue,,,,MAP/MAINTENANCE,1979.0,,47.0,120000.0,RG, , ,N,2026,20000,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-portique N°1 J3 CHSL,Manipulation ,,,,,,
1-FRANCE,LHA,Semi-portique N°2 J3 CHSL (10T SAMETO?)-STOP 06/02,Elingue,,,,MAP/MAINTENANCE,1979.0,RGE 2003,47.0,120000.0,RG, , ,N,2026,20000,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-portqiue N°2 J3 CHSL,Manipulation ,,,,,,
1-FRANCE,LHA,Pont J1sud 63T CAILLARD,,,,,80%OUTILS / 20%BOBINES,1970.0,,56.0,,RGE 50 ans , , ,O,2035,40000,,65000,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,1120000,,,,,,,Pont J1sud 63T,,,2026,,,,
1-FRANCE,LHA,J1 Nord,Pince,,,,STOCKAGE,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J1 Nord,,,,,,,
1-FRANCE,LHA,J2 Nord ,Elingue,2027,80000,,STOCKAGE,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J2 Nord,,,,2025.0,,,
1-FRANCE,LHA,J2 Sud,Elingue,2026,80000,,PAL/PAVAR,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J2 Sud,,,,,,,
1-FRANCE,MCA,Pont 63T XLHS SECAL,Pince,,,,XL HS,2019.0,,7.0,,,Evaluation interne,2039,N,2039,40000,,,,,,,,,,,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 63T XLHS SECAL,,,2028,,,,
1-FRANCE,MCA,PINCE 50T XXL HS,,,,,XXL HS,2019.0,,7.0,,,Evaluation interne,2039,,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-FRANCE,MCA,Pont 50/50 T XLHS SECAL,Pince,,,,MAP XL ,2019.0,,7.0,,,Evaluation interne,2039,N,2058,40000,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 50/50 T XLHS SECAL,,,2029,,,,
1-FRANCE,MCA,Pont 25 T PAL SEVAL,Elingue,EGT,,,PAL,2001.0,,25.0,,RGE 25 ans, , ,N,2040,40000,,,135000.0,,,,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 25 T PAL SEVAL,,,2025,,,,
1-FRANCE,MCA,Pont 32 T Appro bobines SAMETO,Pince,,,,BOBINES,2000.0,,26.0,,RGE 25 ans, , ,N,2039,40000,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 32 T Appro bobines SAMETO,,,2027,,,,
1-FRANCE,MCA,Pont 25/25T Nord SAMETO,Elingue,,,,MAP (et ex L3),1998.0,,28.0,,RGE 25 ans, , ,N,2037,40000,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 25/25T Nord SAMETO,,,2025,2025.0,,,
1-FRANCE,MCA,Semi-portique 25/25 T surclassé 30T SEVAL,,,,,MAP/travée 5400T,1996.0,,30.0,,RGE 25 ans, , ,N,2035,25000,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-portique 25/25 T surclassé 30T SEVAL,,,2026,,,,
1-FRANCE,MCA,Pont 80T SAMETO,Pince,,,,PT5400,1995.0,,31.0,,RGE 25 ans, , ,N,2034,40000,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 80T SAMETO,,,2026,,,,
1-FRANCE,MCA,Pont 25/25 T Sud SEVAL L01,Elingue,2027,80000,,L01,1994.0,,32.0,,RGE 25 ans, , ,N,2033,40000,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont 25/25 T Sud SEVAL,,,2027,,,,
1-FRANCE,UGB,Pont A1 GE 35 T SECAL,Pince,,,,BOBINES,2016.0,,10.0,,,Evaluation interne,2036,N,2055,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont A1 GE 35 T SECAL,,,Pince,,,,
1-FRANCE,UGB,Pont A1 PE 35 T KONECRANES,Pince,,,,BOBINES,2010.0,,16.0,,RGE 25 ans,Evaluation interne,2030,N,2049,40000,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,170000,,,,,,,,,,,Pont A1 PE 35 T KONECRANES,,,2035,,,,
1-FRANCE,UGB,Pont A2 GE 35 T KONECRANES ,Elingue,EGT,,,DECOUPES,2008.0,,18.0,,RGE 25 ans, , ,N,2047,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,Pont A2 GE 35 T KONECRANES ,,,2033,,,,
1-FRANCE,UGB,Pont A2 PE 35 T KONECRANES,Elingue,EGT,,,DECOUPES,2006.0,,20.0,,RGE 25 ans, , ,N,2045,40000,,,,,,,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,Pont A2 PE 35 T KONECRANES,,,2031,,,,
1-FRANCE,UGB,Pont A2 50 T SAMETO ,Elingue,2026,80000,"défini FD/DD/ER arbitrairement le 21/04, sera présenté au CdD par Florian",PAL340,2001.0,AC installé en 2018 suite usure galets ,25.0,,RGE 25 ans, , ,N,2040,40000,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont A2 50 T SAMETO ,,,2027,,,,
1-FRANCE,UGB,Pont A7 63/63 T SEVAL,Elingue,EGT,,,STOCKAGE,2004.0,,22.0,,RGE 25 ans, , ,N,2043,40000,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont A7 63/63 T SEVAL,,,2029,,,,
1-FRANCE,UGB,Pont A8 63/63 T SAMETO ,Elingue,EGT,,,L12,2001.0,,25.0,1170000.0,RGE 25 ans, , ,N,2040,40000,,,,,,,,,0,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pont A8 63/63 T SAMETO,,,2026,2026.0,"était prévu 2025, budget 25 transféré à CVP",,
1-FRANCE,UGB,Pont A9 63/63 T KONECRANES,,NC,,,MAINTENANCE/MAP,2005.0,,21.0,,RGE 25 ans, , ,N,2044,40000,,,,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,Pont A9 63/63 T KONECRANES,,,2030,,,,
